,Product Name,Prices
0,Roasted Makhanas - Roasted In Olive Oil - 7 Lip Smacking Flavours,Rs. 899.00
1,Dry-Fruits Combo,Rs. 1849.00
2,Peri - Peri Party Mix (500 g) & Panchmeva (450 g),Rs. 899.00
3,Date Bites - No Added Sugar,From Rs. 345.00
4,Roasted & Flavoured Cashews,Rs. 896.00
5,Dried Apricots (200 g) & Dried Cranberry (200 g),Rs. 549.00
6,"Dry Fruit Combo - Almonds (250 g), Cashews (250 g), Raisins (200 g)",Rs. 696.00
7,Pasta Made From Makhanas - 100% Maida Free,From Rs. 147.00
8,Panchmeva - Dry Fruits Mix (450 g),From Rs. 479.00
9,Peri-Peri Party Mix - Roasted In Olive Oil,From Rs. 499.00
10,Dried Turkish Apricots (200 g),Rs. 345.00
11,Premium California Pistachios - 750 g,Rs. 1249.00
12,Premium Fard Dates - 400 g,Rs. 297.00
13,Premium Munakka - 200 g,Rs. 240.00
14,7-in-1 Trail Mix (200g),From Rs. 289.00
15,Berry Mix (200 g),Rs. 279.00
16,Premium California Roasted & Salted Pistachios 200 g,Rs. 339.00
17,5-in-1 Seed Mix (200 g),Rs. 189.00
18,Classic Salted Cashews - Roasted & Flavoured 200 g,Rs. 329.00
19,Black Pepper Cashews - Roasted (200 g),Rs. 329.00
20,Thai Chilli Cashews - Roasted & Flavoured 200 g,Rs. 329.00
21,Walnuts Inshell - Akhrot (1 kg),Rs. 849.00
22,Premium California Almonds (Badaam),From Rs. 649.00
23,Premium Cashews (Kaju),From Rs. 297.00
24,Premium Walnuts - Extra Light Halves (Akhrot) 200 g,Rs. 389.00
25,Premium Raisins (Kishmish),From Rs. 97.00
26,Peri Peri Makhana - Roasted In Olive Oil (90 g each),From Rs. 289.00
27,Cream & Onion Makhana - Roasted In Olive Oil (90 g each),From Rs. 289.00
28,Tangy Tomato Makhana - Roasted In Olive Oil (90 g Each),From Rs. 289.00
29,Minty Pudina Makhana - Roasted In Olive Oil (90 g each),From Rs. 289.00
30,Himalayan Salt Makhana - Roasted In Olive Oil - Fit for Fasting (90 g each),From Rs. 289.00
31,Dried California Blueberries 200 g,Rs. 799.00
32,Dried Pitted Prunes 200 g,Rs. 499.00
33,Premium Greek Blackcurrant 200 g,Rs. 299.00
34,Premium Flax Seeds (Alsi) - 200 g,Rs. 199.00
35,Premium Whole Cranberry (Dried) 200 g,Rs. 259.00
36,Premium Pumpkin Seeds 200 g,Rs. 227.00
37,Chia Seeds (200 g),Rs. 197.00
38,Black Raisins - Seedless (200 g),Rs. 177.00
39,Premium Diced Pineapple 200 g,Rs. 399.00
40,Premium Dried Diced Papaya 200 g,Rs. 299.00
41,Premium Dried Diced Mango 200 g,Rs. 399.00
42,Dried Whole Strawberry (200 g),Rs. 499.00
43,Sunflower Seeds 200 g,Rs. 199.00
44,Achaari Makhana - Roasted In Olive Oil (90 g each),Rs. 289.00
45,Cheese & Herbs Makhana - Roasted In Olive Oil (90 g each),Rs. 289.00
46,Roasted Makhanas - Roasted In Olive Oil,From Rs. 289.00
47,Combo - Peri - Peri Party Mix(500 g) + Thai Chilli Cashews(200 g) + Black Pepper Cashews(200 g) + Berry Mix(200 g),Rs. 1399.00
48,"Classic Salted Almonds (200g) - Roasted, Not Fried",Rs. 309.00
49,Gift Pack (680 g),Rs. 999.00
50,Gift Potli (200 g),Rs. 399.00
51,Peri - Peri Party Mix (500 g) + Date Bites (200 g),Rs. 799.00
